attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,open_time,close_time
42,Red Pyramid,4.8,1477,Historical landmark,,29.80859,31.20661,giza,Historical landmark, 8:00 AM , 5:00 PM
43,Qasr El Nil Bridge,4.6,2024,Bridge,,30.04385,31.23019,cairo,Bridge,06:00 AM, 12:00 AM
44,abdeen garden,4.4,1705,Park,,30.04385,31.24587,cairo,Park,06:00 AM, 12:00 AM
45,Khedive or Zamalek tree,4.8,25,Park,,30.04592,31.22429,cairo,Park,06:00 AM, 12:00 AM
46,Synagogue Ben Ezra,4.4,197,Synagogue,Historic Sites Religious Sites,30.00573,31.23103,cairo,Synagogue Historic Sites Religious Sites, 9:00 AM , 4:00 PM
47,Islamic Ceramics Museum,3.9,64,Museum,Art Museums,30.05717,31.22265,cairo,Museum Art Museums, 9:00 AM , 5:00 PM
48,Gayer-Anderson Museum,4.6,"1,179",Museum,Historic Sites Art Museums Archaeological,30.02833,31.25074,cairo,Museum Historic Sites Art Museums Archaeological, 9:00 AM , 5:00 PM
49,Mahmoud Mukhtar Museum,4.6,252,Museum,Speciality Museums Art,30.0407,31.22287,cairo,Museum Speciality Museums Art, 9:00 AM , 5:00 PM
50,The Coptic Museum,4.5,867,Museum,Art Museums,30.00576,31.2304,cairo,Museum Art Museums, 9:00 AM , 5:00 PM
51,National Military Museum Egypt,4.3,"4,517",Museum,Military Museums,30.03085,31.26256,cairo,Museum Military Museums, 9:00 AM , 4:00 PM
52,Gamal Abdel Nasser Museum,4.4,221,Museum,Historical place,30.08654,31.3107,cairo,Museum Historical place, 9:00 AM , 4:00 PM
53,Egyptian Geology Museum,4.1,374,Museum,Science Museums,29.9964,31.2289,cairo,Museum Science Museums, 9:00 AM , 3:00 PM
54,The Child Museum,4.4,"1,122",Museum,Speciality Museums Childrens,30.10224,31.33695,cairo,Museum Speciality Museums Childrens, 9:00 AM , 3:00 PM
55,Abdeen Palace Museum,4.5,"9,657",Museum,History Museums Historical place,30.04321,31.24722,cairo,Museum History Museums Historical place, 9:00 AM , 2:00 PM
56,Taha Hussein Museum,4.3,239,Museum,History Museums,30.00501,31.18498,giza,Museum History Museums, 9:00 AM , 9:00 PM
57,Luxor Museum,4.7,"4,765",Museum,History Museums,25.70761,32.64455,luxor,Museum History Museums, 9:00 AM , 5:00 PM
58,The Egyptian Museum,4.5,"6,617",Museum,History Museums Archaeological,30.04829,31.23375,cairo,Museum History Museums Archaeological, 9:00 AM , 4:00 PM
59,Prince Mohamed Ali Palace (Al Manial Palace),4.6,"6,254",Palace,,30.02895,31.23001,cairo,Palace, 9:00 AM , 3:00 PM
60,Museum Of Modern Egyptian Art,4.2,229,Museum,Art,30.04369,31.22468,cairo,Museum Art, 9:00 AM , 4:00 PM
61,Umm Kulthum Museum,4.3,705,Museum,Heritage Biographical,30.00745,31.22529,cairo,Museum Heritage Biographical, 8:00 AM , 4:00 PM
62,Grand Egyptian Museum,4.6,396,Museum,History Museums,29.99437,31.1191,giza,Museum History Museums, 9:00 AM , 5:00 PM
63,Egyptian Textiles Museum,4.6,128,Museum,Speciality Museums,30.00772,31.25999,cairo,Museum Speciality Museums, 10:00 AM , 6:00 PM
64,Khalil Museum,4.6,441,Museum,Art Museums,30.0356,31.21959,cairo,Museum Art Museums, 9:00 AM , 8:00 PM
65,Panorama October,4.4,"7,472",Museum,Speciality Museums War,30.07427,31.30681,cairo,Museum Speciality Museums War, 9:00 AM , 3:00 PM
66,The Royal Mummies Hall,4.7,826,Museum,,30.00815,31.24826,cairo,Museum, 9:00 AM , 3:00 PM
67,Geographical Association of Egypt,4.4,75,Association or organization,,30.04112,31.23605,cairo,Association or organization, 9:00 AM ,  9:00 PM
68,Mostafa Kamel Museum,4.5,135,Museum,Speciality Museums,30.02961,31.25722,cairo,Museum Speciality Museums, 9:00 AM , 2:00 PM
69,Egyptian Air Force Museum,4.7,"1,045",Museum,Points of Interest & Landmarks,30.09662,31.35162,cairo,Museum Points of Interest & Landmarks, 9:00 AM , 5:00 PM
70,Egyptian National Library Museum,4.8,12,Museum,,30.04433,31.25233,cairo,Museum, 9:00 AM , 4:00 PM
71,Foustat Traditional Crafts Center,4.3,185,Museum,History Museums,30.00637,31.23472,cairo,Museum History Museums, 9:00 AM , 4:00 PM
72,Pharaonic Papyrus Museum,4.4,517,Museum,Speciality & Gift Shops,29.99118,31.15238,cairo,Museum Speciality & Gift Shops, 9:00 AM , 4:00 PM
73,Beshtak Palace,4.5,395,Museum,Historic Sites Palace,30.05051,31.26189,cairo,Museum Historic Sites Palace, 9:00 AM , 4:00 PM
74,Beit Al-Razzaz,4.7,72,Historical landmark,mansion,30.03752,31.2595,cairo,Historical landmark mansion, 9:00 AM , 4:00 PM
75,Alexandria National Museum,4.4,"2,105",Museum,History Museums,31.20074,29.9132,Alexandria,Museum History Museums, 9:00 AM , 4:00 PM
76,Royal Jewellery Museum,4.6,"6,001",Museum,History Museums,31.24061,29.96328,Alexandria,Museum History Museums, 9:00 AM , 2:00 PM
77,National Police Museum,3.9,95,Museum,History Museums,30.03079,31.25991,cairo,Museum History Museums, 10:00 AM , 11:00 PM
78,"Museum of Illusions, Cairo",4.4,"1,168",Museum,Speciality Museums Art Museums,30.0775,30.95138,cairo,Museum Speciality Museums Art Museums, 9:00 AM , 4:00 PM
79,Ramses Wissa Wassef Art Center,4.6,117,Art Gallery,,29.96875,31.17596,giza,Art Gallery, 9:00 AM , 5:00 PM
80,Karmet Ibn Hanie Cultural Center Ahmed Shawky Museum,4.3,158,Cultural center,,30.02126,31.21743,cairo,Cultural center, 9:00 AM , 5:00 PM
81,Nation's House Museum,4.3,219,Museum,History Museums,30.03801,31.23746,cairo,Museum History Museums, 9:00 AM , 5:00 PM
82,Rokn Farouk Museum,4.3,"1,238",Museum,Heritage,29.847,31.29472,cairo,Museum Heritage, 9:00 AM , 5:00 PM
83,Islamic Ceramics Museum,3.9,63,Museum,Art Museums,30.05717,31.22265,cairo,Museum Art Museums, 9:00 AM , 12:00 AM 
84,Al-Azhar Park,4.5,30165,Park,,30.04076,31.26473,cairo,Park,06:00 AM, 12:00 AM
85,Al Horreya Garden,4.2,4045,Garden,Botanical,30.04147,31.22579,cairo,Garden Botanical, 9:00 AM , 5:00 PM
86,Manial Garden,4.2,310,Park,garden,30.02894,31.23006,cairo,Park garden,06:00 AM, 12:00 AM
87,Umm Kulthum Park,4.1,1505,Park,,30.03108,31.22562,cairo,Park, 9:00 AM , 11:00 PM
88,El Obour Park,4.3,363,Park,,30.22834,31.47989,cairo,Park,06:00 AM, 12:00 AM
89,Aquarium Grotto Garden,3.8,3965,Park,,30.0564,31.21908,cairo,Park,06:00 AM, 12:00 AM
90,Gezira Island,4.1,40,Park,,30.04514,31.22811,cairo,Park,06:00 AM, 12:00 AM
91,Fustat Park,3.8,5598,Park,,30,31.23333,cairo,Park,06:00 AM, 12:00 AM
92,Dar-Uloom Park,3.9,940,Park,,30.03436,31.23591,cairo,Park,06:00 AM, 12:00 AM
93,Play Time Park,4.3,586,Park,,30.06984,31.22703,cairo,Park,06:00 AM, 12:00 AM
94,The International Park,4.1,22154,Park,city,30.04955,31.33649,cairo,Park city,06:00 AM, 12:00 AM
95,Ebn Sinder Park,3.7,2100,Park,,30.08965,31.30278,cairo,Park, 9:00 AM , 5:00 PM
96,Arab Mohammadi Park,3.7,435,Park,,30.07651,31.27951,cairo,Park, 10:00 AM , 5:00 PM
97,The water Park Faculty of Agriculture,4.3,158,Park,,30.01926,31.21087,cairo,Park, 9:00 AM , 12:00 AM 
98,Al-Azhar Park Fountain,4.5,22,Garden,park,30.04076,31.26473,cairo,Garden park,06:00 AM, 12:00 AM
99,Abdeen Park,4.4,1705,Park,,30.04385,31.24587,cairo,Park,06:00 AM, 12:00 AM
100,Dokki Public Nile View,4.5,13,Park,,30.03945,31.20253,cairo,Park,06:00 AM, 12:00 AM
101,Mamsha Ahl Misr,4.5,3970,Tourist attraction,,30.06076,31.22747,cairo,Tourist attraction,06:00 AM, 12:00 AM
102,Golf Park And Dog Park,4.3,595,Park,National Dog,30.07996,31.3308,cairo,Park National Dog,06:00 AM, 12:00 AM
103,Merryland Park,4.2,16200,Park,,30.09793,31.31898,cairo,Park,06:00 AM, 12:00 AM
104,The Chinese Garden,4.3,122,Garden,,30.06524,31.31138,cairo,Garden,06:00 AM, 12:00 AM
105,Child's Park,4.2,13963,Park,,30.06196,31.3471,cairo,Park,06:00 AM, 12:00 AM
106,Nature Stillness Park,3.7,75,Park,,30.11386,31.33632,cairo,Park,06:00 AM, 12:00 AM
107,Mokkatam Dog Park,4,473,Park,dog,30.01671,31.28508,cairo,Park dog,06:00 AM, 12:00 AM
108,Azbakeya Garden,3.8,5403,Garden,,30.05177,31.24779,cairo,Garden,06:00 AM, 12:00 AM
109,Orman Garden,4.2,12526,Garden,Botanical,30.02904,31.21297,cairo,Garden Botanical,06:00 AM, 12:00 AM
110,My Park,3.6,20,Park,,29.9619,31.27079,cairo,Park,06:00 AM, 12:00 AM
111,Rawdet ElNil Garden,4.1,195,Garden,community,30.07621,31.22853,cairo,Garden community, 10:00 AM , 12:00 AM 
112,FAMILY PARK,4.4,19509,Park,,30.08108,31.50177,cairo,Park,06:00 AM, 12:00 AM
113,Fostat city,4.4,57,Park,city,30,31.23333,cairo,Park city,06:00 AM, 12:00 AM
114,Al Zohriya Garden,4.2,27,Garden,Botanical,30.04582,31.22568,cairo,Garden Botanical,06:00 AM, 12:00 AM
115,Kids Park,4.3,47,Park,,29.96616,31.24142,cairo,Park,06:00 AM, 12:00 AM
116,Lotus Park,4.1,916,Park,,30.04074,31.33517,cairo,Park,06:00 AM, 12:00 AM
117,Paradise Park,4.2,692,Park,,30.06412,31.33006,cairo,Park,06:00 AM, 12:00 AM
118,Cairo Tourist Walk,4.9,15,Hiking area,,30.04442,31.23571,cairo,Hiking area,06:00 AM, 12:00 AM
119,The Maidan Gardens,4.5,505,Park,Garden,29.95658,31.26712,cairo,Park Garden,06:00 AM, 12:00 AM
120,Bella garden,4.3,330,Garden,Park,30.11661,31.35131,cairo,Garden Park,06:00 AM, 12:00 AM
121,Hadiqet Nil Elmaadi,3.7,403,Park,,29.92999,31.28083,cairo,Park, 10:00 AM , 12:00 AM 
122,Amusement Park maadi island,3.9,54,Park,,29.96535,31.2381,cairo,Park,06:00 AM, 12:00 AM
123,Cairo Park,3.8,57,Park,,30.1025,31.56307,cairo,Park,06:00 AM, 12:00 AM
124,Naguib Mahfouz Park,4,458,Park,,30.0498,31.34292,cairo,Park, 10:00 AM , 12:00 AM 
125,Cairo Land,4,170,Park,water,30.04449,31.2427,cairo,Park water, 10:00 AM , 6:00 PM
126,Jewel Aqua park,4,1449,Park,water,30.04751,31.40129,cairo,Park water,06:00 AM, 12:00 AM
127,Bikes Park Mostqbal City,4.1,141,Park,,30.1704,31.55526,cairo,Park, 10:00 AM , 8:00 PM
128,KidZania Cairo,4.6,7712,Tourist attraction,Theme park Amusment,30.03128,31.40554,cairo,Tourist attraction Theme park Amusment, 10:00 AM , 12:00 AM 
129,Dream Park,4.3,22203,Park,Amusment Park theme,29.96468,31.05773,giza,Park Amusment Park theme,06:00 AM, 12:00 AM
130,Helmya Garden,3.9,714,Garden,Botanical,30.1088,31.32659,cairo,Garden Botanical,06:00 AM, 12:00 AM
131,Al Moez Ldin Allah Al Fatmi,4.7,1105,Notable street,,30.05094,31.26158,cairo,Notable street, 9:00 AM , 5:00 PM
132,Mosque Sultan Al-Zahir Barquq,4.9,8,Mosque,Religious Sites,30.0501,31.26122,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
133,Al-Aqmar Mosque,4.7,1254,Mosque,Religious Sites,30.0516,31.26204,cairo,Mosque Religious Sites, 9:00 AM , 4:00 PM
134,Qalawun Complex,4.7,768,Historical landmark,,30.04941,31.261,cairo,Historical landmark, 10:00 AM , 10:00 PM
135,New Khan El Khalili Center,4.2,151,Shopping mall,,30.0487,31.26128,cairo,Shopping mall, 10:00 AM , 12:00 AM 
136,Khan El Khalili Restaurant et Naguib Mahfouz Coffee Shop,4.3,"3,497",Cafe,,30.04807,31.26162,cairo,Cafe,06:00 AM, 12:00 AM 
137,El Fishawy Cafe,3.9,"3,062",Cafe,,30.04753,31.26236,cairo,Cafe,06:00 AM, 12:00 AM
138,Al-Hussain Mosque,4.6,"25,191",Mosque,Religious Sites,30.04777,31.26338,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
139,Mosque-Madrasa of Sultan Hassan,4.8,3397,Mosque,Religious Sites,30.03228,31.25617,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
140,Al-Rifa'i Mosque,4.8,2374,Mosque,Religious Sites,30.03271,31.257,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
141,Mosque of Ibn Tulun,4.7,3477,Mosque,Religious Sites,30.02869,31.24939,cairo,Mosque Religious Sites, 9:00 AM , 4:00 PM
142,Qalawun Complex,4.7,768,Historical landmark,,30.0494,31.26096,cairo,Historical landmark, 9:00 AM , 4:00 PM
143,Sultan al-Mu'ayyad Mosque,4.7,969,Mosque,Religious Sites,30.04334,31.25744,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
144,Aqsunqur Mosque,4.7,440,Mosque,Religious Sites,30.03611,31.26028,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
145,Al-Aqmar Mosque,4.7,1254,Mosque,Religious Sites,30.05157,31.26194,cairo,Mosque Religious Sites, 9:00 AM , 4:00 PM
146,Masjid Sultan Abo Elelaa,4.6,2003,Mosque,Religious Sites,30.05645,31.22992,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
147,Mosque of Muhammad Ali,4.7,4316,Mosque,Religious Sites,30.0287,31.25991,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM 
148,Masjid Al-Mahmodyah,4.7,78,Mosque,Religious Sites,30.03161,31.25774,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
149,Al-Hussain Mosque in Cairo,4.6,25191,Mosque,Religious Sites,30.04767,31.26319,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
150,Al-Hakim Mosque,4.7,8230,Mosque,Religious Sites,30.05455,31.26351,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
151,Mosque of Qanibay al-Rammah,4.6,75,Mosque,Religious Sites,30.03227,31.25795,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
152,Mosque of al-Salih Tala'i,4.6,164,Mosque,Religious Sites,30.04235,31.25811,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
153,Masjid Elmoaued Sheikh,4.7,132,Historical landmark,Religious Sites Mosque,30.04295,31.2578,cairo,Historical landmark Religious Sites Mosque,06:00 AM, 12:00 AM
154,Soliman Agha El Selehdar Mosque,4.6,251,Mosque,Religious Sites,30.05544,31.25165,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
155,Al-Azhar Mosque,4.8,13807,Mosque,Religious Sites,30.04569,31.26269,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
156,Al Zahir Baybars Mosque,4.5,3181,Mosque,Religious Sites,30.06263,31.26303,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
157,Al-Nour Mosque,4.7,7400,Mosque,Religious Sites,30.07528,31.28306,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
158,Abu Dahab Mosque,4.7,90,Mosque,Religious Sites,30.04597,31.26193,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
159,Abo Heriba mosque,4.7,119,Mosque,Religious Sites,30.04143,31.25962,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
160,Amir Khayrbak Funerary Complex,4.7,73,Mosque,Religious Sites,30.03572,31.26016,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
161,Ad-Demerdash Mosque,4.5,13,Mosque,Religious Sites,30.07518,31.27729,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
162,Prince Qayson mosque,4.7,570,Mosque,Religious Sites,30.03808,31.25469,cairo,Mosque Religious Sites,09:00 AM, 5:00 PM
163,Sulayman Pasha Mosque,4.8,40,Mosque,Religious Sites,30.03105,31.26453,cairo,Mosque Religious Sites,09:00 AM, 4:00 PM
164,Amr ibn Al-A'as Mosque,4.7,9029,Mosque,Religious Sites,30.01005,31.23313,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
165,Sinan Pasha Mosque,4.7,156,Mosque,Religious Sites,30.06222,31.22958,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
166,Al-Fath Mosque,4.5,581,Mosque,Religious Sites,30.09782,31.27572,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
167,Mosque of Gamal El-Din El-Ustadar,4.9,13,Mosque,Religious Sites,30.03467,31.25439,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
168,Masged and Madraset Soltan Hassn,4.7,6913,Historical landmark,Religious Sites Mosque,30.03287,31.25628,cairo,Historical landmark Religious Sites Mosque,08:00 AM, 5:00 PM
169,Wekalet El Ghoury,4.6,1360,Tourist attraction,Performing arts theater,30.04605,31.26021,cairo,Tourist attraction Performing arts theater,06:00 AM, 12:00 AM
170,Mohamed Ali Mosque,4.7,1647,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
171,Sultan Al-Ashraf Qaytbay Mosque and Mausoleum,4.6,1068,Mosque,Religious Sites,30.04749,31.26004,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
172,Alkekhia Mosque,4.7,520,Mosque,Religious Sites,30.0493,31.24658,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
173,Gamal Abdel Nasser Mosque,4.5,170,Mosque,Religious Sites,30.08342,31.29441,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
174,Masjid El Fath,4.7,10233,Mosque,Religious Sites,30.05984,31.24617,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
175,ElRahman ELRahim Mosque,4.9,7,Mosque,Religious Sites,30.06131,31.28369,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
176,Sayeda Aisha Mosque,5,7,Mosque,Religious Sites,30.02467,31.25679,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
177,Aisha Fahmy Palace,4.6,2919,Art Gallery,Historic Sites Points of Interest & Landmarks Architectural Buildings,30.05916,31.2249,cairo,Art Gallery Historic Sites Points of Interest & Landmarks Architectural Buildings,06:00 AM, 12:00 AM
178,El-Kobba Palace,4.7,88,Palace,,30.09826,31.30416,cairo,Palace,06:00 AM, 12:00 AM
179,Madrasa of Sarghatmish,4.6,27,Mosque,Religious Sites,30.03033,31.25128,cairo,Mosque Religious Sites, 9:00 AM , 4:00 PM
180,Bab El Nasr,4.5,2134,Historical landmark,,30.05409,31.26484,cairo,Historical landmark,06:00 AM, 12:00 AM
181,Madrasa And Dome Of Sultan Al-Nassir Mohammed Ibn Qalawun,4.6,432,Mosque,Religious Sites,30.0498,31.2609,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
182,Mosque Sanjar Al-Jawli,4.7,15,Historical landmark,Religious Sites Mosque,30.02961,31.24723,cairo,Historical landmark Religious Sites Mosque, 9:00 AM , 5:00 PM
183,Masjid Al Rahman Al Rahim,4.8,5582,Mosque,Religious Sites,30.06131,31.28369,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
184,Bab Zuweila,4.6,884,Historical landmark,Historic Sites Points of Interest & Landmarks Castles,30.0427,31.25778,cairo,Historical landmark Historic Sites Points of Interest & Landmarks Castles,06:00 AM, 12:00 AM
185,Kazndar Mosque,4.6,1073,Mosque,Religious Sites,30.08265,31.2456,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
186,El Qalaa,4.7,86,Historical landmark,,30.09031,31.25914,cairo,Historical landmark,06:00 AM, 12:00 AM
187,Masjed Al Ashraf Al Gamei Al Kabeer,4.8,836,Mosque,Religious Sites,30.02179,31.25153,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
188,City Of The Dead Cairo Egypt,4.2,137,Cemetery,necropolis,30.04345,31.27235,cairo,Cemetery necropolis,06:00 AM, 12:00 AM
189,Bayt Almaamar Almasry,4.6,286,Historical place,,30.03249,31.2583,cairo,Historical place,06:00 AM, 12:00 AM
190,The complex of religions,4.6,297,Religious institution,Religious Sites,30.00652,31.2323,cairo,Religious institution Religious Sites,06:00 AM, 12:00 AM
191,Al-Hosary Mosque,4.7,51594,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
192,Al Rahman Mosque,4.7,190,Mosque,Religious Sites,30.04678,31.23996,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
193,Southern Cemetery of Al Basatin,4.2,1176,Historical landmark,cemetry necropolis,30.02103,31.26483,cairo,Historical landmark cemetry necropolis, 9:00 AM , 5:00 PM
194,Firdous Mosque,4.8,46,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites, 9:00 AM , 4:00 PM
